rank,screen_grade,focus_candidate,screen_score,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
1,A,Y,95.38,9,7,3,89.04,90.61,2382,廣達,TWSE,電腦週邊,323.0,AI,3-5日延續,催化觀察,平台突破,業績成長,88.42,64.51,3,6.14,37.15,10.24,14.13,1.01,-1.97,14.0,14.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；結構 平台突破；題材 AI；訊號 3-5日延續
2,A,Y,94.02,9,7,3,85.53,88.21,3090,日電貿,TWSE,電子零組件,108.5,AI,3-5日延續,催化觀察,回踩承接,業績成長,34.11,18.87,3,12.9,9.29,9.05,7.43,2.49,-4.82,7.0,16.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；結構 回踩承接；題材 AI；訊號 3-5日延續
3,A,Y,93.75,9,7,3,83.33,89.59,2330,台積電,TWSE,半導體,2030.0,CoWoS,5-10日波段,波段布局,回踩承接,業績成長,45.19,34.72,3,3.5,31.26,6.56,20.83,1.27,-3.33,15.0,18.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；結構 回踩承接；題材 CoWoS；訊號 5-10日波段
4,A,Y,93.58,9,7,3,80.88,91.8,2890,永豐金,TWSE,金融業,32.7,一般,3-5日延續,高勝率候選,平台突破,業績成長,50.7,39.71,3,19.85,24.56,2.03,11.99,0.89,-2.82,11.0,14.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；結構 平台突破；題材 一般；訊號 3-5日延續
5,A,Y,93.38,9,7,3,85.49,85.03,6139,亞翔,TWSE,其他電子,723.0,AI,3-5日延續,催化觀察,平台突破,業績成長,47.45,72.16,3,12.71,11.3,23.59,20.3,1.6,-0.82,14.0,16.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；結構 平台突破；題材 AI；訊號 3-5日延續
6,A,Y,93.35,9,7,3,85.49,84.91,6788,華景電,TPEX,櫃半導體,431.0,一般,待確認,一般觀察,平台突破,業績成長,2.29,15.71,3,14.14,23.77,16.17,21.92,1.59,0.0,8.0,17.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；結構 平台突破；題材 一般；訊號 待確認
7,A,Y,92.87,9,7,3,79.33,90.17,2395,研華,TWSE,電腦週邊,366.0,AI,待確認,一般觀察,平台突破,業績成長,21.75,17.05,3,30.12,19.63,4.87,26.86,2.04,-2.79,8.0,15.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；結構 平台突破；題材 AI；訊號 待確認
8,A,Y,92.37,9,7,3,79.08,87.99,3189,景碩,TWSE,半導體,391.5,AI,3-5日延續,催化觀察,回踩承接,業績成長,25.06,30.0,3,2.04,1.76,7.11,132.34,1.38,-4.04,14.0,18.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；結構 回踩承接；題材 AI；訊號 3-5日延續
9,A,Y,92.28,9,7,3,74.34,93.47,6526,達發,TWSE,半導體,506.0,低軌衛星,待確認,一般觀察,整理待確認,尚未明確,5.7,4.47,3,12.03,3.83,0.8,16.19,1.03,-13.06,4.0,14.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；結構 整理待確認；題材 低軌衛星；訊號 待確認
10,A,Y,92.13,9,7,3,77.37,88.94,2347,聯強,TWSE,電子通路,83.9,AI,3-5日延續,催化觀察,平台突破,業績成長,64.42,36.51,3,23.43,19.15,4.88,31.3,0.92,-0.36,10.0,9.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；結構 平台突破；題材 AI；訊號 3-5日延續
